,D_ends,D_sites,Repair Rate,Repair Rate Std,Misrepair Rate,Misrepair Rate Std
0,279999999999999.97,279999999999999.97,0.356,0.47881520443695186,0.044,0.20509509989270833
1,279999999999999.97,885437744847146.1,0.366,0.4817094560001911,0.036,0.18629009635512025
2,279999999999999.97,2800000000000000.0,0.394,0.48863483297857513,0.012,0.10888526071052962
3,279999999999999.97,8854377448471462.0,0.372,0.48333839077813795,0.004,0.063118935352238
4,279999999999999.97,2.8e+16,0.398,0.4894854441145313,0.0,0.0
5,885437744847146.1,279999999999999.97,0.184,0.38748419322599476,0.034,0.18122913673027305
6,885437744847146.1,885437744847146.1,0.158,0.36474100400146947,0.022,0.14668333238647124
7,885437744847146.1,2800000000000000.0,0.168,0.37386628625753354,0.016,0.125475097130865
8,885437744847146.1,8854377448471462.0,0.182,0.38584452827531457,0.002,0.044676615807377355
9,885437744847146.1,2.8e+16,0.164,0.3702755730533679,0.006,0.0772269383052313
10,2800000000000000.0,279999999999999.97,0.078,0.26817158686184484,0.022,0.14668333238647124
11,2800000000000000.0,885437744847146.1,0.078,0.26817158686184484,0.024,0.15304901175767194
12,2800000000000000.0,2800000000000000.0,0.062,0.24115555146004825,0.014,0.11749042514179613
13,2800000000000000.0,8854377448471462.0,0.096,0.2945912422323515,0.006,0.0772269383052313
14,2800000000000000.0,2.8e+16,0.112,0.3153664535108324,0.002,0.044676615807377355
15,8854377448471462.0,279999999999999.97,0.06,0.23748684174075838,0.01,0.09949874371066199
16,8854377448471462.0,885437744847146.1,0.068,0.251745903640953,0.004,0.063118935352238
17,8854377448471462.0,2800000000000000.0,0.062,0.24115555146004825,0.0,0.0
18,8854377448471462.0,8854377448471462.0,0.066,0.24828209762284514,0.004,0.063118935352238
19,8854377448471462.0,2.8e+16,0.064,0.24475293665245365,0.004,0.063118935352238
20,2.8e+16,279999999999999.97,0.072,0.2584879107424562,0.002,0.044676615807377355
21,2.8e+16,885437744847146.1,0.074,0.26177089219391836,0.002,0.044676615807377355
22,2.8e+16,2800000000000000.0,0.06,0.23748684174075835,0.0,0.0
23,2.8e+16,8854377448471462.0,0.086,0.2803640490505157,0.004,0.063118935352238
24,2.8e+16,2.8e+16,0.062,0.24115555146004825,0.0,0.0
